,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
33,Bgwyi6h84rUCWC4ao1Qm,Force Mass Motion,Motions Beyond,Fantasy,11,522866,False,0.601,0.75,9,-11.947,1,0.0419,0.0608,0.374,0.0639,0.222,132.004,4,breakbeat
34,6wR0i8TqQlaguhtjj0pK,Stanton Warriors,Rebel Bass,Too Long (feat. Lily McKenzie),12,206623,False,0.753,0.806,5,-5.417,0,0.042,0.00726,0.119,0.117,0.428,125.999,4,breakbeat
35,fVxA5e6rowI4BoOuoJ5h,Uberzone,Bounce,Bounce - Uberzone Original Mix,11,332533,False,0.746,0.963,1,-6.487,1,0.101,0.000229,0.834,0.329,0.243,129.0,4,breakbeat
36,SszKvTmw8Q16b54rrr9K,The Chemical Brothers;Fatboy Slim,Come With Us / The Test,Come With Us - Fatboy Slim Remix,11,443186,False,0.658,0.846,7,-11.686,1,0.0689,0.13,0.844,0.767,0.594,124.976,4,breakbeat
37,6lXq5851px8SVuvacHA0,The Chemical Brothers;The Glimmers,The Salmon Dance,The Salmon Dance - Heavily Smoked By The Glimmers,12,307946,False,0.944,0.552,0,-5.978,1,0.0628,0.00104,0.0459,0.0939,0.715,127.992,4,breakbeat
38,dxpBlM31KCt3ZXzn48Qx,The Prodigy,Spitfire,Spitfire - Nightbreed Mix,12,368760,False,0.401,0.987,2,-3.567,1,0.342,0.000675,0.573,0.266,0.146,178.075,4,breakbeat
39,tD90d71Lc5ib9yfPJBhx,The Prodigy;Zeds Dead,The Added Fat EP,Breathe - Zeds Dead Remix,12,276386,False,0.672,0.989,3,-2.425,0,0.164,0.175,0.583,0.284,0.156,125.999,4,breakbeat
40,w06fOBHg2oxT4Tomylj4,The Chemical Brothers,Brotherhood,Electronic Battle Weapon 9,12,400866,False,0.722,0.944,10,-5.071,0,0.0481,0.0262,0.782,0.352,0.327,126.971,4,breakbeat
41,A8slG2g5f5bRhH99R9JH,Fluke,Six Wheels On My Wagon,Slowmotion,12,311106,False,0.66,0.452,7,-18.52,1,0.03,0.464,0.81,0.105,0.637,109.691,4,breakbeat
42,H0w0t80bnDarICnUxJRl,The Prodigy,No Good (Start the Dance),No Good (Start The Dance) - Bad For You Mix,11,411866,False,0.672,0.872,7,-13.052,1,0.0402,0.00212,0.878,0.0265,0.389,144.014,4,breakbeat
43,0hK5q5NyUqRZ7LbP4v2C,Audio Bullys;Nancy Sinatra,I'm In Love,Shot You Down - Audio Bullys Remix Edit; Feat. Nancy Sinatra,11,393826,False,0.54,0.613,10,-3.885,1,0.0514,0.147,0.459,0.064,0.137,126.194,4,breakbeat
44,zjt6KInS97B2eU4PeuAJ,The Chemical Brothers,Brotherhood,Electronic Battle Weapon 2,11,436466,False,0.67,0.935,1,-4.337,0,0.0865,0.265,0.0901,0.0958,0.164,129.009,4,breakbeat
45,THN63G6Mn0oD1UJrZ8xz,The Chemical Brothers,Brotherhood,Electronic Battle Weapon 4,12,365759,False,0.692,0.982,3,-4.799,1,0.0386,0.00375,0.875,0.099,0.495,140.993,4,breakbeat
46,vu4ruG647F0E1tpBYPCO,The Wiggles,Yummy Yummy,Hot Potato,59,81066,False,0.669,0.737,0,-7.974,1,0.0975,0.0289,0.0,0.204,0.948,170.925,4,children
47,f4Y8A2F8qsySuNGprlDM,Pinkfong,Pinkfong & Baby Shark Halloween Zombi,Boda de Sirenas en Halloween,21,98630,False,0.572,0.557,7,-5.317,1,0.0748,0.286,0.0,0.0468,0.322,127.688,4,children
48,99sfeWv5r995gAKMiRLG,Alphaville,Forever Young (Super Deluxe Edition; 2019 Remaster),Big in Japan - 2019 Remaster,65,284625,False,0.757,0.596,7,-8.039,1,0.0339,0.0409,0.0447,0.171,0.195,97.769,4,synth-pop
49,E325crtn2Pl26hbwhXDF,Electroforez,505,Я ничего не могу с собою сделать,49,271671,False,0.587,0.825,1,-7.338,1,0.0353,0.000393,0.89,0.375,0.471,99.996,4,synth-pop
50,oOsa438H2YrWNDO50FqU,Modern Talking,Ready For Romance,Atlantis Is Calling (S.O.S. for Love),59,230000,False,0.707,0.64,3,-11.674,0,0.0371,0.214,0.000247,0.0624,0.731,113.448,4,synth-pop
51,SzV44J2e7CxH4gWBg3XK,a-ha,"East of the Sun, West of the Moon",Crying in the Rain,63,260226,False,0.394,0.547,2,-9.276,1,0.0383,0.436,0.000111,0.344,0.151,181.74,4,synth-pop
52,1unoN0Q5PaOoOjBIcSZ0,Berlin,Take My Breath Away (as heard in Top Gun) (Re-Recorded / Remastered),Take My Breath Away (as heard in Top Gun) (Re-Recorded / Remastered),60,249249,False,0.518,0.642,10,-6.009,0,0.025,0.172,4.04e-06,0.431,0.597,96.225,4,synth-pop
53,Oc041tihZtsk3wJpv9DB,Rick Astley,Whenever You Need Somebody,Together Forever,68,205533,False,0.702,0.933,2,-11.876,1,0.0492,0.0519,0.000128,0.155,0.896,115.114,4,synth-pop
54,Kuk7YLwFdi23Cz8YnTel,Duran Duran,Rio (Collector's Edition),Hungry Like the Wolf - 2009 Remaster,73,220626,False,0.691,0.812,0,-7.772,1,0.0558,0.0433,1.16e-06,0.299,0.685,127.568,4,synth-pop
